Game,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8 ,Trial 9 ,Trial 10
143,13,16,17,13,20,12,26,9,15,16
144,17,22,8,19,25,18,4,19,4,12
145,5,7,7,0,16,8,13,10,11,8
146,19,7,12,9,14,14,16,14,4,7
147,18,12,12,21,9,12,12,10,12,13
148,15,11,15,12,8,14,3,6,4,17
149,5,16,13,11,16,10,10,18,8,8
150,16,8,18,7,8,14,13,12,6,6
151,17,3,18,11,3,17,11,6,4,14
152,11,20,5,7,6,8,10,17,9,14
153,7,7,11,12,10,8,3,15,16,17
154,18,20,7,12,16,9,20,18,16,7
155,12,16,7,7,9,12,13,10,20,1
156,3,15,12,14,17,14,13,4,9,2
157,5,17,5,11,17,11,15,16,17,4
158,11,23,15,15,7,17,11,11,14,13
159,14,10,16,13,18,10,10,10,11,16
160,16,13,21,8,16,17,10,16,7,15
161,11,25,17,3,15,12,4,8,5,10
162,14,18,16,15,21,14,13,19,9,21
163,12,15,6,19,10,13,9,7,7,10
164,16,17,11,15,15,8,18,6,16,14
165,10,6,18,5,13,12,7,10,14,6
166,12,15,1,14,14,8,17,15,21,18
167,21,18,13,5,10,5,8,16,16,17
168,15,7,15,8,11,10,4,8,15,6
169,27,12,0,15,5,8,5,7,6,13
170,15,6,17,15,10,11,22,8,14,13
171,10,10,14,10,0,16,8,24,5,9
172,11,2,5,5,6,10,3,0,9,7
173,15,8,19,14,10,7,16,8,24,10
174,11,6,3,9,8,19,13,10,14,10
175,7,9,18,7,17,19,22,3,16,16
176,14,19,18,5,6,12,18,5,12,7
177,7,6,13,5,14,18,4,9,17,11
178,10,8,4,0,11,15,8,8,14,17
179,8,22,21,6,13,19,14,3,3,6
180,6,0,18,11,13,4,5,23,8,15
181,10,11,11,13,14,12,2,23,12,10
182,15,5,14,19,11,15,5,15,12,14
183,16,13,16,17,4,16,16,9,13,3
184,19,17,9,11,13,7,22,7,7,18
185,20,10,13,12,11,12,0,10,7,6
186,13,15,9,11,6,8,14,21,18,5
187,12,18,5,11,11,12,13,6,16,11
188,7,5,15,7,7,13,15,8,4,7
189,6,6,10,15,5,9,10,9,7,5
190,10,6,14,16,14,13,6,13,14,20
191,14,15,18,19,19,13,9,21,19,8
192,16,9,12,18,9,17,23,12,11,13
193,7,14,11,10,15,11,17,4,17,7
194,12,6,12,10,18,9,18,16,26,9
195,11,14,8,0,18,10,8,11,7,19
196,6,14,3,17,12,7,16,13,21,11
197,2,21,6,6,17,12,13,20,10,7
198,14,9,13,15,14,5,14,15,7,12
199,6,18,21,10,0,9,9,16,12,9
200,19,8,13,5,5,17,2,12,7,5
201,12,17,7,22,16,18,7,16,10,22
202,5,8,4,7,26,25,18,9,15,12
203,6,6,14,2,20,13,5,17,4,18
204,0,15,6,12,10,9,13,16,18,11
205,16,10,11,11,17,6,14,7,14,6
206,14,7,16,11,6,9,9,17,10,19
207,17,10,14,6,14,12,9,4,15,0
208,14,18,17,1,15,13,5,14,7,19
209,5,15,8,10,10,17,16,11,3,10
210,6,7,17,11,11,11,8,14,12,11
211,12,20,10,12,20,11,12,20,16,3
212,23,11,15,9,9,24,8,9,12,15
213,20,6,3,3,4,11,17,9,5,3
214,15,15,20,14,22,9,12,16,8,17
215,12,12,18,18,11,3,14,4,23,14
216,16,16,15,7,17,8,13,7,1,6
217,16,24,18,13,14,26,6,3,10,8
218,6,9,9,19,10,7,13,10,11,16
219,9,9,13,9,17,8,13,16,7,13
220,0,17,12,12,13,15,13,8,14,8
221,7,10,13,7,15,7,14,7,11,6
222,12,13,12,16,21,16,12,10,23,5
223,7,12,17,13,19,15,11,9,16,10
224,9,19,9,9,17,12,11,4,6,13
225,6,16,11,3,12,21,8,22,3,11
226,21,17,5,16,17,5,7,20,14,4
227,6,11,3,13,13,8,14,9,15,20
228,5,10,16,8,19,0,11,10,19,4
